LOUIS GARNEAU,ASCENT,ASCENT deluxe,,,\n,2019,/ascent[\s・]deluxe/ius,\n,20,20×1.95/20×2.125,マットブラック,162000,\n,12.3,29.8,61,\n,\n,内装3段,135,\n,\n,クラス27標準装備,低床,,20181216
LOUIS GARNEAU,ASCENT,ASCENT deluxe,,,\n,2019,/ascent[\s・]deluxe/ius,\n,20,20×1.95/20×2.125,アンティークピンク,162000,\n,12.3,29.8,61,\n,\n,内装3段,135,\n,\n,クラス27標準装備,低床,,20181216
LOUIS GARNEAU,ASCENT,ASCENT deluxe,,,\n,2019,/ascent[\s・]deluxe/ius,\n,20,20×1.95/20×2.125,スモークブルー,162000,\n,12.3,29.8,61,\n,\n,内装3段,135,\n,\n,クラス27標準装備,低床,,20181216
LOUIS GARNEAU,ASCENT,ASCENT mini,,,\n,2019,/ascent[\s・]mini/ius,\n,20/18,20×1.95/18×2.125,LGホワイト,139320,\n,12.3,24.2,77,\n,\n,内装3段,135,\n,\n,標準装備,低床,,20181216
LOUIS GARNEAU,ASCENT,ASCENT mini,,,\n,2019,/ascent[\s・]mini/ius,\n,20/18,20×1.95/18×2.125,マットカーキ,139320,\n,12.3,24.2,77,\n,\n,内装3段,135,\n,\n,標準装備,低床,,20181216
LOUIS GARNEAU,ASCENT,ASCENT mini,,,\n,2019,/ascent[\s・]mini/ius,\n,20/18,20×1.95/18×2.125,ディープオレンジ,139320,\n,12.3,24.2,77,\n,\n,内装3段,135,\n,\n,標準装備,低床,,20181216
LOUIS GARNEAU,ASCENT,ASCENT mini,,,\n,2019,/ascent[\s・]mini/ius,\n,20/18,20×1.95/18×2.125,ライラック,139320,\n,12.3,24.2,77,\n,\n,内装3段,135,\n,\n,標準装備,低床,,20181216
カイホウ,SUISUI,BM-A30,,,\n,\n,/bm-a30/ius,\n,20,,ブラック,,24,5.8,18.5,30,\n,\n,外装６段,\n,\n,740,,,,20181216
カイホウ,SUISUI,BM-A30,,,\n,\n,/bm-a30/ius,\n,20,,ホワイト,,24,5.8,18.5,30,\n,\n,外装６段,\n,\n,740,,,,20181216
カイホウ,SUISUI,BM-E50,,,\n,\n,/bm-e50/ius,\n,20,,ネイビー,,24,5.8,18.5,30,\n,\n,,\n,\n,815,,,,20181216
カイホウ,SUISUI,BM-P10,,,\n,\n,/bm-p10/ius,\n,26,,ホワイト,,24,5.8,25.4,35,\n,\n,内装3段,\n,\n,800,クラス27標準装備,低床,前輪駆動,20181216
カイホウ,SUISUI,BM-P10,,,\n,\n,/bm-p10/ius,\n,26,,ネイビー,,24,5.8,25.4,35,\n,\n,内装3段,\n,\n,800,クラス27標準装備,低床,前輪駆動,20181216
パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][dＤ][xＸ]/iu,\n,20,20×2.125 HE,マットジェットブラック,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][dＤ][xＸ]/iu,\n,20,20×2.125 HE,オフホワイト,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][dＤ][xＸ]/iu,\n,20,20×2.125 HE,マットオリーブ,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][dＤ][xＸ]/iu,\n,20,20×2.125 HE,マットネイビー,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][dＤ][xＸ]/iu,\n,20,20×2.125 HE,マットブルーグレー,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・DX,,BE-ELAD03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][dＤ][xＸ]/iu,\n,20,20×2.125 HE,マットハニー,139800,25.2,16,34,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット･アニーズ・DX・26,,BE-ELAD63,20181101,2019,/ギュット[\s・]?アニーズ[\s・][dＤ][xＸ][\s・]26/ius,\n,26,26×1.75 HE,マットジェットブラック,139800,25.2,16,34.1,96,70,60,内装3段,146,162,765,クラス27標準装備,,,20181216
パナソニック,ギュット,ギュット･アニーズ・DX・26,,BE-ELAD63,20181101,2019,/ギュット[\s・]?アニーズ[\s・][dＤ][xＸ][\s・]26/ius,\n,26,26×1.75 HE,オフホワイト,139800,25.2,16,34.1,96,70,60,内装3段,146,162,765,クラス27標準装備,,,20181216
パナソニック,ギュット,ギュット･アニーズ・DX・26,,BE-ELAD63,20181101,2019,/ギュット[\s・]?アニーズ[\s・][dＤ][xＸ][\s・]26/ius,\n,26,26×1.75 HE,マットオリーブ,139800,25.2,16,34.1,96,70,60,内装3段,146,162,765,クラス27標準装備,,,20181216
パナソニック,ギュット,ギュット･アニーズ・DX・26,,BE-ELAD63,20181101,2019,/ギュット[\s・]?アニーズ[\s・][dＤ][xＸ][\s・]26/ius,\n,26,26×1.75 HE,マットネイビー,139800,25.2,16,34.1,96,70,60,内装3段,146,162,765,クラス27標準装備,,,20181216
パナソニック,ギュット,ギュット・アニーズ・EX,,BE-ELAE033,20181101,2019,/ギュット[\s・]?アニーズ[\s・][eＥ][xＸ]/iu,\n,20,20×2.125 HE,マットジェットブラック,158800,25.2,16,34.3,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・EX,,BE-ELAE033,20181101,2019,/ギュット[\s・]?アニーズ[\s・][eＥ][xＸ]/iu,\n,20,20×2.125 HE,オフホワイト,158800,25.2,16,34.3,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・EX,,BE-ELAE033,20181101,2019,/ギュット[\s・]?アニーズ[\s・][eＥ][xＸ]/iu,\n,20,20×2.125 HE,マットオリーブ,158800,25.2,16,34.3,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・EX,,BE-ELAE033,20181101,2019,/ギュット[\s・]?アニーズ[\s・][eＥ][xＸ]/iu,\n,20,20×2.125 HE,ブリックレッド,158800,25.2,16,34.3,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・EX,,BE-ELAE033,20181101,2019,/ギュット[\s・]?アニーズ[\s・][eＥ][xＸ]/iu,\n,20,20×2.125 HE,マットネイビー,158800,25.2,16,34.3,80,60,50,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・KE,,BE-ELKE03,\n,2018,/ギュット[\s・]?アニーズ[\s・][kＫ][eＥ]/ius,\n,20,20×2.125HE,マットジェットブラック,198000,25.2,20,35.1,100,76,63,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・KE,,BE-ELKE03,\n,2018,/ギュット[\s・]?アニーズ[\s・][kＫ][eＥ]/ius,\n,20,20×2.125HE,ホワイトグレー,198000,25.2,20,35.1,100,76,63,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・KE,,BE-ELKE03,\n,2018,/ギュット[\s・]?アニーズ[\s・][kＫ][eＥ]/ius,\n,20,20×2.125HE,マットオリーブ,198000,25.2,20,35.1,100,76,63,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・KE,,BE-ELKE03,\n,2018,/ギュット[\s・]?アニーズ[\s・][kＫ][eＥ]/ius,\n,20,20×2.125HE,マットフォースブラウン,198000,25.2,20,35.1,100,76,63,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・SX,,BE-ELAS03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][sＳ][xＸ]/ius,\n,20,20×2.125 HE,マットジェットブラック,134800,25.2,12,33.2,60,45,37,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・SX,,BE-ELAS03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][sＳ][xＸ]/ius,\n,20,20×2.125 HE,オフホワイト,134800,25.2,12,33.2,60,45,37,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・SX,,BE-ELAS03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][sＳ][xＸ]/ius,\n,20,20×2.125 HE,マットオリーブ,134800,25.2,12,33.2,60,45,37,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・SX,,BE-ELAS03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][sＳ][xＸ]/ius,\n,20,20×2.125 HE,マットネイビー,134800,25.2,12,33.2,60,45,37,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・SX,,BE-ELAS03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][sＳ][xＸ]/ius,\n,20,20×2.125 HE,マットブルーグレー,134800,25.2,12,33.2,60,45,37,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・アニーズ・SX,,BE-ELAS03,20181101,2019,/ギュット[\s・]?アニーズ[\s・][sＳ][xＸ]/ius,\n,20,20×2.125 HE,マットハニー,134800,25.2,12,33.2,60,45,37,内装3段,142,155,735,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・クルーム・DX,,BE-ELFD03,20181203,2019,/ギュット[\s・]?クルーム[\s・][dＤ][xＸ]/ius,\n,20,20×1.95HE,グレイッシュレディブルー,149800,25.2,16,32.2,80,60,50,内装3段,\n,\n,\n,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・クルーム・DX,,BE-ELFD03,20181203,2019,/ギュット[\s・]?クルーム[\s・][dＤ][xＸ]/ius,\n,20,20×1.95HE,マットオリーブ,149800,25.2,16,32.2,80,60,50,内装3段,\n,\n,\n,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・クルーム・DX,,BE-ELFD03,20181203,2019,/ギュット[\s・]?クルーム[\s・][dＤ][xＸ]/ius,\n,20,20×1.95HE,モダングレー,149800,25.2,16,32.2,80,60,50,内装3段,\n,\n,\n,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・クルーム・DX,,BE-ELFD03,20181203,2019,/ギュット[\s・]?クルーム[\s・][dＤ][xＸ]/ius,\n,20,20×1.95HE,マットディープグレー,149800,25.2,16,32.2,80,60,50,内装3段,\n,\n,\n,クラス27標準装備,低床,,20181216
パナソニック,ギュット,ギュット・クルーム・DX,,BE-ELFD03,20181203,2019,/ギュット[\s・]?クルーム[\s・][dＤ][xＸ]/ius,\n,20,20×1.95HE,シアースカーレット,149800,25.2,16,32.2,80,60,50,内装3段,\n,\n,\n,クラス27標準装備,低床,,20181216
