index_No,メーカー,シリーズ,車名,限定・専売モデル,品番,発売日,年度(表記無しの対応は0000),単一商品フラグ,正規表現名,フレームサイズ,タイヤサイズ,単一タイヤサイズ,タイヤサイズ詳細,色,正規表現色,メーカー希望小売価格（税抜）,ボルト,アンペア,車両重量,エコ(弱)モード走行距離,標準(オート)モード,強モード,変速,最低適応身長（目安）,幼児2人同時適応身長,サドル高さ（最低）,リヤキャリア,低床フレーム,前輪駆動,登録日
1,丸石,ふらっか〜ず,ふらっか～ずキュート アシスト,,ASFRQ263B,,2018,,/ふらっか〜ず[\\s・]?キュート[\\s・]?アシスト/isu,,26,1,,インクブルー,/インクブルー/ius,99800,36,4.3,28.8,37,25,22,内装3段,140,,,クラス27標準装備,低床,前輪駆動,20181217
2,丸石,ふらっか〜ず,ふらっか～ずキュート アシスト,,ASFRQ263B,,2018,,/ふらっか〜ず[\\s・]?キュート[\\s・]?アシスト/isu,,26,1,,ダークグレーメタリック,/ダークグレーメタリック/ius,99800,36,4.3,28.8,37,25,22,内装3段,140,,,クラス27標準装備,低床,前輪駆動,20181217
3,丸石,ふらっか〜ず,ふらっか～ずキュート アシスト,,ASFRQ263B,,2018,,/ふらっか〜ず[\\s・]?キュート[\\s・]?アシスト/isu,,26,1,,ブラウン,/ブラウン/ius,99800,36,4.3,28.8,37,25,22,内装3段,140,,,クラス27標準装備,低床,前輪駆動,20181217
4,丸石,ふらっか〜ず,ふらっか～ずキュート アシスト,,ASFRQ263J,201902,2019,,/ふらっか〜ず[\\s・]?キュート[\\s・]?アシスト/isu,,26,1,,エナメルネイビー,/エナメルネイビー/ius,105000,36,6.7,28.9,58,39,35,内装3段,142,155,760,クラス27標準装備,低床,前輪駆動,20181217
5,丸石,ふらっか〜ず,ふらっか～ずキュート アシスト,,ASFRQ263J,201902,2019,,/ふらっか〜ず[\\s・]?キュート[\\s・]?アシスト/isu,,26,1,,メタリックエンジ,/メタリックエンジ/ius,105000,36,6.7,28.9,58,39,35,内装3段,142,155,760,クラス27標準装備,低床,前輪駆動,20181217
6,丸石,ふらっか〜ず,ふらっか～ずキュート アシスト,,ASFRQ263J,201902,2019,,/ふらっか〜ず[\\s・]?キュート[\\s・]?アシスト/isu,,26,1,,メタリックシルバー,/メタリックシルバー/ius,105000,36,6.7,28.9,58,39,35,内装3段,142,155,760,クラス27標準装備,低床,前輪駆動,20181217
7,丸石,ふらっか〜ず,ふらっか～ずアクティブ アシスト,,ASFRPP203B,,2018,,/ふらっか〜ず[\\s・]?アクティブ[\\s・]?アシスト/isu,,20,1,,エナメルブラック,/エナメルブラック/ius,118000,36,4.3,30.9,30,23,20,内装3段,140,150,750,クラス27標準装備,低床,前輪駆動,20181217
8,丸石,ふらっか〜ず,ふらっか～ずアクティブ アシスト,,ASFRPP203B,,2018,,/ふらっか〜ず[\\s・]?アクティブ[\\s・]?アシスト/isu,,20,1,,ブラウニーレッド,/ブラウニーレッド/ius,118000,36,4.3,30.9,30,23,20,内装3段,140,150,750,クラス27標準装備,低床,前輪駆動,20181217
9,丸石,ふらっか〜ず,ふらっか～ずアクティブ アシスト,,ASFRPP203B,,2018,,/ふらっか〜ず[\\s・]?アクティブ[\\s・]?アシスト/isu,,20,1,,パールホワイト,/パールホワイト/ius,118000,36,4.3,30.9,30,23,20,内装3段,140,150,750,クラス27標準装備,低床,前輪駆動,20181217
10,丸石,ふらっか〜ず,ふらっか～ずアクティブ アシスト,,ASFRPP203J,201902,2019,,/ふらっか〜ず[\\s・]?アクティブ[\\s・]?アシスト/isu,,20,1,20×1.95,エナメルブラック,/エナメルブラック/ius,118000,36,6.7,31,47,36,32,内装3段,140,150,750,クラス27標準装備,,前輪駆動,20181217
11,丸石,ふらっか〜ず,ふらっか～ずアクティブ アシスト,,ASFRPP203J,201902,2019,,/ふらっか〜ず[\\s・]?アクティブ[\\s・]?アシスト/isu,,20,1,20×1.95,パールホワイト,/パールホワイト/ius,118000,36,6.7,31,47,36,32,内装3段,140,150,750,クラス27標準装備,,前輪駆動,20181217
12,丸石,ふらっか〜ず,ふらっか〜ずココッティ アシスト リヤシート付きモデル,,ASCCY203J-R,201902,2019,,/ふらっか〜ず[\\s・]?ココッティ[\\s・]?アシスト[\\s・]?リヤシート付きモデル/isu,,20,1,20×1.95,ソーダブルー,/ソーダブルー/ius,115000,36,6.7,31.3,47,36,32,内装3段,140,150,730,クラス27標準装備,低床,前輪駆動,20181217
13,丸石,ふらっか〜ず,ふらっか〜ずココッティ アシスト リヤシート付きモデル,,ASCCY203J-R,201902,2019,,/ふらっか〜ず[\\s・]?ココッティ[\\s・]?アシスト[\\s・]?リヤシート付きモデル/isu,,20,1,20×1.95,モスグリーン,/モスグリーン/ius,115000,36,6.7,31.3,47,36,32,内装3段,140,150,730,クラス27標準装備,低床,前輪駆動,20181217
14,丸石,ふらっか〜ず,ふらっか〜ずココッティ アシスト リヤシート付きモデル,,ASCCY203J-R,201902,2019,,/ふらっか〜ず[\\s・]?ココッティ[\\s・]?アシスト[\\s・]?リヤシート付きモデル/isu,,20,1,20×1.95,オフホワイト,/オフホワイト/ius,115000,36,6.7,31.3,47,36,32,内装3段,140,150,730,クラス27標準装備,低床,前輪駆動,20181217
15,丸石,ふらっか〜ず,ふらっか〜ずココッティ アシスト,,ASCCY203J,201902,2019,,/ふらっか〜ず[\\s・]?ココッティ[\\s・]アシスト/isu,,20,1,20×1.95,ソーダブルー,/ソーダブルー/ius,105000,36,6.7,27.7,47,36,32,内装3段,140,150,730,クラス27標準装備,低床,前輪駆動,20181217
16,丸石,ふらっか〜ず,ふらっか〜ずココッティ アシスト,,ASCCY203J,201902,2019,,/ふらっか〜ず[\\s・]?ココッティ[\\s・]アシスト/isu,,20,1,20×1.95,モスグリーン,/モスグリーン/ius,105000,36,6.7,27.7,47,36,32,内装3段,140,150,730,クラス27標準装備,低床,前輪駆動,20181217
17,丸石,ふらっか〜ず,ふらっか〜ずココッティ アシスト,,ASCCY203J,201902,2019,,/ふらっか〜ず[\\s・]?ココッティ[\\s・]アシスト/isu,,20,1,20×1.95,オフホワイト,/オフホワイト/ius,105000,36,6.7,27.7,47,36,32,内装3段,140,150,730,クラス27標準装備,低床,前輪駆動,20181217
18,丸石,,プルミエール アシスト,,ASPE263B,,2018,,/プルミエール[\\s・]?アシスト/isu,,26,1,,グレイッシュミント,/グレイッシュミント/ius,99800,36,4.3,26.7,37,25,22,内装3段,,,750,クラス27標準装備,,前輪駆動,20181217
19,丸石,,プルミエール アシスト,,ASPE263B,,2018,,/プルミエール[\\s・]?アシスト/isu,,26,1,,インクブルー,/インクブルー/ius,99800,36,4.3,26.7,37,25,22,内装3段,,,750,クラス27標準装備,,前輪駆動,20181217
20,丸石,,プルミエール アシスト,,ASPE263B,,2018,,/プルミエール[\\s・]?アシスト/isu,,26,1,,ホワイトグレー,/ホワイトグレー/ius,99800,36,4.3,26.7,37,25,22,内装3段,,,750,クラス27標準装備,,前輪駆動,20181217
21,丸石,,プルミエール アシスト,,ASPE263J,201902,2019,,/プルミエール[\\s・]?アシスト/isu,,26,1,,ブリティッシュグリーン,/ブリティッシュグリーン/ius,105000,36,6.7,26.8,58,39,35,内装3段,140,,750,クラス27標準装備,,前輪駆動,20181217
22,丸石,,プルミエール アシスト,,ASPE263J,201902,2019,,/プルミエール[\\s・]?アシスト/isu,,26,1,,ダークレッド,/ダークレッド/ius,105000,36,6.7,26.8,58,39,35,内装3段,140,,750,クラス27標準装備,,前輪駆動,20181217
23,丸石,,プルミエール アシスト,,ASPE263J,201902,2019,,/プルミエール[\\s・]?アシスト/isu,,26,1,,アイボリー,/アイボリー/ius,105000,36,6.7,26.8,58,39,35,内装3段,140,,750,クラス27標準装備,,前輪駆動,20181217
24,丸石,,ココッティ アシスト リヤシート付きモデル,,ASCCY203B-R,,2018,,/ココッティ[\\s・]?アシスト[\\s・]?リヤシート付きモデル/isu,,20,1,,マットレッド,/マットレッド/ius,109800,36,4.3,31.2,,,,内装3段,140,150,810,クラス27標準装備,低床,前輪駆動,20181217
25,丸石,,ココッティ アシスト リヤシート付きモデル,,ASCCY203B-R,,2018,,/ココッティ[\\s・]?アシスト[\\s・]?リヤシート付きモデル/isu,,20,1,,マットミント,/マットミント/ius,109800,36,4.3,31.2,,,,内装3段,140,150,810,クラス27標準装備,低床,前輪駆動,20181217
26,丸石,,ココッティ アシスト リヤシート付きモデル,,ASCCY203B-R,,2018,,/ココッティ[\\s・]?アシスト[\\s・]?リヤシート付きモデル/isu,,20,1,,ダークグレーメタリック,/ダークグレーメタリック/ius,109800,36,4.3,31.2,,,,内装3段,140,150,810,クラス27標準装備,低床,前輪駆動,20181217
27,丸石,,ココッティ アシスト,,ASCCY203B,,2018,,/ココッティ[\\s・]?アシスト/isu,,20,1,,マットレッド,/マットレッド/ius,99800,36,4.3,27.6,30,23,20,内装3段,140,150,810,クラス27標準装備,低床,前輪駆動,20181217
28,丸石,,ココッティ アシスト,,ASCCY203B,,2018,,/ココッティ[\\s・]?アシスト/isu,,20,1,,マットミント,/マットミント/ius,99800,36,4.3,27.6,30,23,20,内装3段,140,150,810,クラス27標準装備,低床,前輪駆動,20181217
29,丸石,,ココッティ アシスト,,ASCCY203B,,2018,,/ココッティ[\\s・]?アシスト/isu,,20,1,,ダークグレーメタリック,/ダークグレーメタリック/ius,99800,36,4.3,27.6,30,23,20,内装3段,140,150,810,クラス27標準装備,低床,前輪駆動,20181217
30,丸石,,アーバニティクロス アシスト,,ASAP277B,,2018,,/アーバニティクロス[\\s・]?アシスト/isu,,27,1,,マットブラック,/マットブラック/ius,99800,36,4.3,24,38,26,23,外装7段,,,810,取付可,,前輪駆動,20181217
31,丸石,,アーバニティクロス アシスト,,ASAP277B,,2018,,/アーバニティクロス[\\s・]?アシスト/isu,,27,1,,マットライトグレー,/マットライトグレー/ius,99800,36,4.3,24,38,26,23,外装7段,,,810,取付可,,前輪駆動,20181217
32,丸石,,アーバニティクロス アシスト,,ASAP277J,201902,2019,,/アーバニティクロス[\\s・]?アシスト/isu,,27,1,,パールホワイト,/パールホワイト/ius,105000,36,6.7,24.1,60,41,36,外装7段,160,,810,取付可,,前輪駆動,20181217
33,丸石,,アーバニティクロス アシスト,,ASAP277J,201902,2019,,/アーバニティクロス[\\s・]?アシスト/isu,,27,1,,インディゴブルー,/インディゴブルー/ius,105000,36,6.7,24.1,60,41,36,外装7段,160,,810,取付可,,前輪駆動,20181217
34,丸石,,アーバニティクロス アシスト,,ASAP277J,201902,2019,,/アーバニティクロス[\\s・]?アシスト/isu,,27,1,,メタリックブラック,/メタリックブラック/ius,105000,36,6.7,24.1,60,41,36,外装7段,160,,810,取付可,,前輪駆動,20181217
35,ヤマハ,YPJ,YPJ-XC,,YPJ-XC,,2018,,/ypj-xc/ius,M,27.5,1,27.5×2.25,Mat Pure Silver,/Mat[\\s・]?Pure[\\s・]?Silver/ius,350000,36,13.3,21.2,225,108,85,外装11速,165,,800,,,,20190103
36,ヤマハ,YPJ,YPJ-XC,,YPJ-XC,,2018,,/ypj-xc/ius,S,27.5,1,27.5×2.25,Mat Pure Silver,/Mat[\\s・]?Pure[\\s・]?Silver/ius,350000,36,13.3,21.2,225,108,85,外装11速,156,,770,,,,20190103
37,ヤマハ,YPJ,YPJ-XC,,YPJ-XC,,2018,,/ypj-xc/ius,L,27.5,1,27.5×2.25,Mat Pure Silver,/Mat[\\s・]?Pure[\\s・]?Silver/ius,350000,36,13.3,21.3,225,108,85,外装11速,178,,845,,,,20190103
38,ヤマハ,YPJ,YPJ-TC,,YPJ-TC,,2018,,/ypj-tc/ius,S,700,1,700×35C,Satin Silver,/(Satin Silver/サテンシルバー)/ius,300000,36,13.3,22.3,237,109,91,外装18段,154,,835,標準装備,,,20190103
39,ヤマハ,YPJ,YPJ-TC,,YPJ-TC,,2018,,/ypj-tc/ius,S,700,1,700×35C,Pure Pearl White,/(Pure Pearl White|ピュアパールホワイト)/ius,300000,36,13.3,22.3,237,109,91,外装18段,154,,835,標準装備,,,20190103
40,ヤマハ,YPJ,YPJ-TC,,YPJ-TC,,2018,,/ypj-tc/ius,L,700,1,700×35C,Satin Silver,/(Satin Silver/サテンシルバー)/ius,300000,36,13.3,22.6,237,109,91,外装18段,170,,920,標準装備,,,20190103
41,ヤマハ,YPJ,YPJ-TC,,YPJ-TC,,2018,,/ypj-tc/ius,L,700,1,700×35C,Pure Pearl White,/(Pure Pearl White|ピュアパールホワイト)/ius,300000,36,13.3,22.6,237,109,91,外装18段,170,,920,標準装備,,,20190103
42,ヤマハ,YPJ,YPJ-TC,,YPJ-TC,,2018,,/ypj-tc/ius,M,700,1,700×35C,Satin Silver,/(Satin Silver/サテンシルバー)/ius,300000,36,13.3,22.6,237,109,91,外装18段,165,,890,標準装備,,,20190103
43,ヤマハ,YPJ,YPJ-TC,,YPJ-TC,,2018,,/ypj-tc/ius,M,700,1,700×35C,Pure Pearl White,/(Pure Pearl White|ピュアパールホワイト)/ius,300000,36,13.3,22.6,237,109,91,外装18段,165,,890,標準装備,,,20190103
44,ヤマハ,YPJ,YPJ-R,,YPJ-R,,2018,,/ypj-r/ius,M,700,1,700×25C,ソリッドブラック/ダークグレー,/ソリッドブラック\\/ダークグレー/ius,230000,25.2,2.4,15.4,48,22,14,外装22段,162,,850,,,,20190103
45,ヤマハ,YPJ,YPJ-R,,YPJ-R,,2018,,/ypj-r/ius,M,700,1,700×25C,ピュアパールホワイト,/ピュアパールホワイト/ius,230000,25.2,2.4,15.4,48,22,14,外装22段,162,,850,,,,20190103
46,ヤマハ,YPJ,YPJ-R,,YPJ-R,,2018,,/ypj-r/ius,XS,700,1,700×25C,ソリッドブラック/ダークグレー,/ソリッドブラック\\/ダークグレー/ius,230000,25.2,2.4,15.4,48,22,14,外装22段,155,,810,,,,20190103
47,ヤマハ,YPJ,YPJ-R,,YPJ-R,,2018,,/ypj-r/ius,XS,700,1,700×25C,ピュアパールホワイト,/ピュアパールホワイト/ius,230000,25.2,2.4,15.4,48,22,14,外装22段,155,,810,,,,20190103
48,ヤマハ,YPJ,YPJ-ER,,YPJ-ER,,2018,,/ypj-er/ius,S,700,1,700×35C,Mat Black2,/(Mat Black2|マットブラック2)/ius,320000,36,13.3,22.3,242,111,93,外装20速,154,,835,,,,20190103
49,ヤマハ,YPJ,YPJ-ER,,YPJ-ER,,2018,,/ypj-er/ius,L,700,1,700×35C,Mat Black2,/(Mat Black2|マットブラック2)/ius,320000,36,13.3,22.6,242,111,93,外装20速,170,,920,,,,20190103
50,ヤマハ,YPJ,YPJ-ER,,YPJ-ER,,2018,,/ypj-er/ius,M,700,1,700×35C,Mat Black2,/(Mat Black2|マットブラック2)/ius,320000,36,13.3,22.6,242,111,93,外装20速,165,,890,,,,20190103
51,ヤマハ,YPJ,YPJ-EC,,YPJ-EC,,2018,,/ypj-ec/ius,S,700,1,700×28C,Mat Dark Gray,/(Mat Dark Gray|マットダークグレイ)/ius,260000,36,13.3,19.6,222,109,89,外装18段,154,,835,取付可,,,20190103
52,ヤマハ,YPJ,YPJ-EC,,YPJ-EC,,2018,,/ypj-ec/ius,S,700,1,700×28C,Pure White,/(Pure White|ピュアホワイト)/ius,260000,36,13.3,19.6,222,109,89,外装18段,154,,835,取付可,,,20190103
53,ヤマハ,YPJ,YPJ-EC,,YPJ-EC,,2018,,/ypj-ec/ius,M,700,1,700×28C,Mat Dark Gray,/(Mat Dark Gray|マットダークグレイ)/ius,260000,36,13.3,19.8,222,109,89,外装18段,165,,890,取付可,,,20190103
54,ヤマハ,YPJ,YPJ-EC,,YPJ-EC,,2018,,/ypj-ec/ius,M,700,1,700×28C,Pure White,/(Pure White|ピュアホワイト)/ius,260000,36,13.3,19.8,222,109,89,外装18段,165,,890,取付可,,,20190103
55,ヤマハ,YPJ,YPJ-EC,,YPJ-EC,,2018,,/ypj-ec/ius,L,700,1,700×28C,Mat Dark Gray,/(Mat Dark Gray|マットダークグレイ)/ius,260000,36,13.3,19.9,222,109,89,外装18段,170,,920,取付可,,,20190103
56,ヤマハ,YPJ,YPJ-EC,,YPJ-EC,,2018,,/ypj-ec/ius,L,700,1,700×28C,Pure White,/(Pure White|ピュアホワイト)/ius,260000,36,13.3,19.9,222,109,89,外装18段,170,,920,取付可,,,20190103
57,ヤマハ,YPJ,YPJ-C,,YPJ-C,,2018,,/ypj-c/ius,M,700,1,700×28C,マットブラック,/マットブラック/ius,185000,36,2.4,15.4,48,22,14,外装18段,164,,865,取付可,,,20190103
58,ヤマハ,YPJ,YPJ-C,,YPJ-C,,2018,,/ypj-c/ius,M,700,1,700×28C,ピュアホワイト,/ピュアホワイト/ius,185000,36,2.4,15.4,48,22,14,外装18段,164,,865,取付可,,,20190103
59,ヤマハ,YPJ,YPJ-C,,YPJ-C,,2018,,/ypj-c/ius,XS,700,1,700×28C,マットブラック,/マットブラック/ius,185000,36,2.4,15.4,48,22,14,外装18段,154,,805,取付可,,,20190103
60,ヤマハ,YPJ,YPJ-C,,YPJ-C,,2018,,/ypj-c/ius,XS,700,1,700×28C,ピュアホワイト,/ピュアホワイト/ius,185000,36,2.4,15.4,48,22,14,外装18段,154,,805,取付可,,,20190103
61,ヤマハ,PAS ナチュラ,PAS ナチュラXM,イオン限定,,,2019,,/pas[\\s・]?ナチュラ[\\s・]?XM/iu,,26,1,26×1 3/8WO,アイボリー,/アイボリー/ius,,25.5,12.3,25.4,,49,,内装3段,144,,740,クラス27標準装備,低床,,20181217
62,ヤマハ,PAS ナチュラ,PAS ナチュラXM,イオン限定,,,2019,,/pas[\\s・]?ナチュラ[\\s・]?XM/iu,,26,1,26×1 3/8WO,アースブルー,/アースブルー/ius,,25.5,12.3,25.4,,49,,内装3段,144,,740,クラス27標準装備,低床,,20181217
63,ヤマハ,PAS ナチュラ,PAS ナチュラXM,イオン限定,,,2019,,/pas[\\s・]?ナチュラ[\\s・]?XM/iu,,26,1,26×1 3/8WO,カラメルブラウン,/カラメルブラウン/ius,,25.5,12.3,25.4,,49,,内装3段,144,,740,クラス27標準装備,低床,,20181217
64,ヤマハ,PAS ナチュラ,PAS ナチュラXLリミテッド,イオン限定,PA26DGLC8J,,2018,,/pas[\\s・]?ナチュラ[\\s・]?XL[\\s・]?リミテッド/iu,,26,1,,レッド,/レッド/ius,,25.5,12.3,25.6,76,54,45,内装3段,144,,740,クラス27標準装備,低床,,20181217
65,ヤマハ,PAS ナチュラ,PAS ナチュラXLリミテッド,イオン限定,PA26DGLC8J,,2019,,/pas[\\s・]?ナチュラ[\\s・]?XL[\\s・]?リミテッド/iu,,26,1,,アッシュゴールド,/アッシュゴールド/ius,,25.5,12.3,25.6,76,54,45,内装3段,144,,740,クラス27標準装備,低床,,20190309
66,ヤマハ,PAS ナチュラ,PAS ナチュラXLリミテッド,イオン限定,PA26DGLC8J,,2019,,/pas[\\s・]?ナチュラ[\\s・]?XL[\\s・]?リミテッド/iu,,26,1,,レッド,/レッド/ius,,25.5,12.3,25.6,76,54,45,内装3段,144,,740,クラス27標準装備,低床,,20190309
67,ヤマハ,PAS ナチュラ,PAS ナチュラXLリミテッド,イオン限定,PA26DGLC8J,,2019,,/pas[\\s・]?ナチュラ[\\s・]?XL[\\s・]?リミテッド/iu,,26,1,,ディープブラック,/ディープブラック/ius,,25.5,12.3,25.6,76,54,45,内装3段,144,,740,クラス27標準装備,低床,,20190309
68,ヤマハ,PAS ナチュラ,PAS ナチュラXL スーパー,,PA26NXLSP,,2016,,/pas[\\s・]?ナチュラ[\\s・]?XL.*(SP|スーパー)/ius,,26,1,26×1 1/2WO,カシスB,/(カシスB|カシスブルー)/ius,,25.5,12.8,26.9,83,58,47,内装3段,149,,770,クラス27標準装備,低床,,20181231
69,ヤマハ,PAS ナチュラ,PAS ナチュラXL あさひ限定,あさひ限定,,,2018,,/pas[\\s・]?ナチュラ[\\s・]?XL.*あさひ限定/iu,,26,1,26×1 1/2WO,アイボリー,/アイボリー/ius,,25.5,12.3,25.6,76,54,45,内装3段,144,,,クラス27標準装備,低床,,20181231
70,ヤマハ,PAS ナチュラ,PAS ナチュラXL LTD,,PA26DGLC8J,,2018,,/pas[\\s・]?ナチュラ[\\s・]?XL[\\s・]?LTD/iu,,26,1,26×1 1/2WO,ゴールド,/ゴールド/ius,,25.5,12.3,26.3,76,54,45,内装3段,142,,740,クラス27標準装備,低床,,20181217
71,ヤマハ,PAS ナチュラ,PAS ナチュラXL LTD,,PA26DGLC8J,,2018,,/pas[\\s・]?ナチュラ[\\s・]?XL[\\s・]?LTD/iu,,26,1,26×1 1/2WO,レッド,/レッド/ius,,25.5,12.3,26.3,76,54,45,内装3段,142,,740,クラス27標準装備,低床,,20181217
72,ヤマハ,PAS ナチュラ,PAS ナチュラXL LTD,,PA26DGLC8J,,2018,,/pas[\\s・]?ナチュラ[\\s・]?XL[\\s・]?LTD/iu,,26,1,26×1 1/2WO,ブラック,/ブラック/ius,,25.5,12.3,26.3,76,54,45,内装3段,142,,740,クラス27標準装備,低床,,20181217
73,ヤマハ,PAS ナチュラ,PAS ナチュラXL,あさひ限定,,,2018,,/pas[\\s・]?ナチュラ[\\s・]?XL[\\s・]?リミテッド/iu,,26,1,26×1 1/2WO,アイボリー,/アイボリー/ius,,25.5,12.3,25.6,76,54,45,内装3段,144,,740,クラス27標準装備,低床,,20181217
74,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA24NM,,2017,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,24,,24×1 3/8WO,リッチレッド,/リッチレッド/ius,93000,25.5,6.2,22.8,36,25,21,内装3段,141,,720,クラス27標準装備,低床,,20181217
75,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA24NM,,2017,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,24,,24×1 3/8WO,カラメルブラウン,/カラメルブラウン/ius,93000,25.5,6.2,22.8,36,25,21,内装3段,141,,720,クラス27標準装備,低床,,20181217
76,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA24NM,,2017,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,24,,24×1 3/8WO,シルバー,/シルバー/ius,93000,25.5,6.2,22.8,36,25,21,内装3段,141,,740,クラス27標準装備,低床,,20181217
77,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA24NM,,2019,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,24,,24×1 3/8WO,ミラーシルバー,/ミラーシルバー/ius,93000,25.5,6.2,22.8,36,25,21,内装3段,141,,720,クラス27標準装備,低床,,20181217
78,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA24NM,,2019,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,24,,24×1 3/8WO,レッド,/レッド/ius,93000,25.5,6.2,22.8,36,25,21,内装3段,141,,720,クラス27標準装備,低床,,20181217
79,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA26NM,,2017,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,26,,26×1 3/8WO,リッチレッド,/リッチレッド/ius,93000,25.5,6.2,23.6,36,25,21,内装3段,144,,740,クラス27標準装備,低床,,20181217
80,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA26NM,,2017,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,26,,26×1 3/8WO,カラメルブラウン,/カラメルブラウン/ius,93000,25.5,6.2,23.6,36,25,21,内装3段,144,,740,クラス27標準装備,低床,,20181217
81,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA26NM,,2017,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,26,,26×1 3/8WO,アースブルー,/アースブルー/ius,93000,25.5,6.2,23.6,36,25,21,内装3段,144,,740,クラス27標準装備,低床,,20181217
82,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA26NM,,2017,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,26,,26×1 3/8WO,シルバー,/シルバー/ius,93000,25.5,6.2,23.6,36,25,21,内装3段,144,,740,クラス27標準装備,低床,,20181217
83,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA26NM,,2017,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,26,,26×1 3/8WO,アッシュゴールド,/アッシュゴールド/ius,93000,25.5,6.2,23.6,36,25,21,内装3段,144,,740,クラス27標準装備,低床,,20181217
84,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA26NM,,2017,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,26,,26×1 3/8WO,ターコイズ,/ターコイズ/ius,93000,25.5,6.2,23.6,36,25,21,内装3段,144,,740,クラス27標準装備,低床,,20181217
85,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA26NM,,2019,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,26,,26×1 3/8WO,ミラーシルバー,/ミラーシルバー/ius,93000,25.5,6.2,23.6,36,25,21,内装3段,144,,740,クラス27標準装備,低床,,20181217
86,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA26NM,,2019,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,26,,26×1 3/8WO,クリスタルブラック,/(クリスタルブラック|Cブラック)/ius,93000,25.5,6.2,23.6,36,25,21,内装3段,144,,740,クラス27標準装備,低床,,20181217
87,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA26NM,,2019,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,26,,26×1 3/8WO,ディープグリーン,/(ディープグリーン|Dグリーン)/ius,93000,25.5,6.2,23.6,36,25,21,内装3段,144,,740,クラス27標準装備,低床,,20181217
88,ヤマハ,PAS ナチュラ,PAS ナチュラM,,PA26NM,,2019,,/pas[\\s・]?ナチュラ[\\s・]?M/iu,,26,,26×1 3/8WO,レッド,/レッド/ius,93000,25.5,6.2,23.6,36,25,21,内装3段,144,,740,クラス27標準装備,低床,,20181217
89,ヤマハ,PAS ナチュラ,PAS ナチュラ スーパー,,PA26NSP,,2017,,/pas[\\s・]?ナチュラ[\\s・]?(SP|スーパー)/ius,,26,1,26×1 1/2WO,カラメルブラウン,/(カラメルブラウン)/ius,142000,25.5,15.4,26.9,100,70,57,内装3段,149,,770,クラス27標準装備,低床,,20180102
90,ヤマハ,PAS With,PAS With SP,,PA24WSP,20181225,2019,,/pas.*with[\\s・]?sp/iu,,24,,24×1 1/2WO,グレーメタリック,/グレーメタリック/ius,139000,25.5,15.4,26.8,100,70,59,内装3段,141,,720,クラス27標準装備,低床,,20181217
91,ヤマハ,PAS With,PAS With SP,,PA24WSP,20181225,2019,,/pas.*with[\\s・]?sp/iu,,24,,24×1 1/2WO,ダークメタリックレッド,/ダークメタリックレッド/ius,139000,25.5,15.4,26.8,100,70,59,内装3段,141,,720,クラス27標準装備,低床,,20181217
92,ヤマハ,PAS With,PAS With SP,,PA26WSP,20181225,2019,,/pas.*with[\\s・]?sp/iu,,26,,26×1 1/2WO,マットダークグリーン,/マットダークグリーン/ius,139000,25.5,15.4,27.5,100,70,59,内装3段,145,,745,クラス27標準装備,低床,,20181217
93,ヤマハ,PAS With,PAS With SP,,PA26WSP,20181225,2019,,/pas.*with[\\s・]?sp/iu,,26,,26×1 1/2WO,ブロンズメタリック,/ブロンズメタリック/ius,139000,25.5,15.4,27.5,100,70,59,内装3段,145,,745,クラス27標準装備,低床,,20181217
94,ヤマハ,PAS With,PAS With SP,,PA26WSP,20181225,2019,,/pas.*with[\\s・]?sp/iu,,26,,26×1 1/2WO,ダークメタリックレッド,/ダークメタリックレッド/ius,139000,25.5,15.4,27.5,100,70,59,内装3段,145,,745,クラス27標準装備,低床,,20181217
